policy_id,age,gender,policy_type_1,policy_type_2,policy_amount,premium_amount,policy_tenure_years,policy_tenure_decimal,channel1,channel2,channel3,substandard_risk,number_of_advance_premium,initial_benefit,policy_lapse,premium_to_benefit_ratio,age_squared,premium_squared,benefit_squared
138038,34,1,3,9,40,0,2,1.0,6,2,11,0.0,0,0.0,0,0.0,1156,0,1600
140961,35,1,3,20,20000,0,2,1.666666667,6,2,17,0.0,0,0.0,1,0.0,1225,0,400000000
177724,39,1,6,36,1000,3,5,4.25,6,2,27,0.0,0,0.0,1,0.002997002997002997,1521,9,1000000
68940,27,0,3,17,60,0,5,4.166666667,2,3,0,0.0,0,0.0,1,0.0,729,0,3600
97906,59,0,12,58,10000,671,2,1.666666667,2,3,0,0.0,0,0.0,0,0.0670932906709329,3481,450241,100000000
112639,34,0,8,49,15000,0,1,0.25,4,1,51,0.0,0,0.0,1,0.0,1156,0,225000000
139546,32,0,7,39,20000,91,4,3.333333333,6,2,42,0.0,0,0.0,1,0.004549772511374431,1024,8281,400000000
36282,27,1,3,13,20000,0,5,4.166666667,2,3,0,0.0,0,0.0,1,0.0,729,0,400000000
2863,40,0,3,5,26000,960,6,5.333333333,2,3,0,0.0,0,0.0,0,0.036921656859351566,1600,921600,676000000
151892,33,1,7,39,50000,274,5,4.166666667,6,2,8,0.0,0,0.0,0,0.005479890402191956,1089,75076,2500000000
174473,31,0,7,39,20000,86,5,4.333333333,6,2,17,0.0,0,0.0,0,0.0042997850107494625,961,7396,400000000
142477,27,1,6,30,50000,62,4,3.5,6,2,2,0.0,0,0.0,1,0.0012399752004959902,729,3844,2500000000
73950,38,0,3,14,36,0,5,4.666666667,2,3,0,0.0,0,0.0,1,0.0,1444,0,1296
2853,19,1,3,13,10000,0,6,5.333333333,2,3,0,0.0,0,0.0,1,0.0,361,0,100000000
14195,39,0,3,5,75000,3600,5,4.75,2,3,0,0.0,0,0.0,1,0.04799936000853322,1521,12960000,5625000000
94321,41,0,3,17,60,0,7,6.0,2,3,0,0.0,0,0.0,0,0.0,1681,0,3600
52317,52,0,3,15,20000,0,5,4.416666667,2,3,0,0.0,0,0.0,0,0.0,2704,0,400000000
57778,3,1,3,13,30000,0,5,4.416666667,2,3,0,0.0,0,0.0,1,0.0,9,0,900000000
155221,22,1,7,39,30000,102,5,4.0,6,2,31,0.0,0,0.0,1,0.0033998866704443185,484,10404,900000000
26525,13,0,3,6,0,480,3,2.833333333,2,3,0,0.0,0,0.0,0,480.0,169,230400,0
13469,35,0,3,8,20000,0,6,5.5,2,3,0,0.0,0,0.0,0,0.0,1225,0,400000000
64036,27,0,3,17,60,0,4,3.416666667,2,3,0,0.0,0,0.0,1,0.0,729,0,3600
145682,55,0,6,37,0,23,4,3.666666667,6,2,6,0.0,0,0.0,0,23.0,3025,529,0
168006,59,1,6,37,0,9,5,4.166666667,6,2,6,0.0,0,0.0,0,9.0,3481,81,0
130376,32,1,3,11,20000,0,3,2.833333333,6,2,9,0.0,0,0.0,0,0.0,1024,0,400000000
172243,39,1,6,36,2500,8,4,3.25,6,2,24,0.0,0,0.0,0,0.003198720511795282,1521,64,6250000
160038,36,1,6,38,2500,28,3,2.5,6,2,23,0.0,0,0.0,1,0.011195521791283487,1296,784,6250000
63127,6,0,3,5,20000,1440,5,4.5,2,3,0,0.0,0,0.0,0,0.071996400179991,36,2073600,400000000
18366,9,1,3,12,200,0,7,6.0,2,3,0,0.0,0,0.0,1,0.0,81,0,40000
3002,36,1,3,5,3000,480,6,5.25,2,3,0,0.0,0,0.0,1,0.1599466844385205,1296,230400,9000000
47080,14,1,3,5,25000,5000,5,4.25,2,3,0,0.0,0,0.0,1,0.1999920003199872,196,25000000,625000000
82924,29,1,3,8,30000,0,7,6.416666667,2,3,0,0.0,0,0.0,1,0.0,841,0,900000000
38530,64,1,8,41,100000,12000,2,1.166666667,2,3,0,0.0,0,0.0,0,0.11999880001199988,4096,144000000,10000000000
10606,43,0,3,13,14000,0,3,2.583333333,2,3,0,0.0,0,0.0,0,0.0,1849,0,196000000
56227,33,1,3,12,300,0,7,6.0,2,3,0,0.0,0,0.0,1,0.0,1089,0,90000
16186,19,1,10,55,0,0,3,2.25,2,3,0,0.0,0,0.0,0,0.0,361,0,0
